all_products_href,product_title,product_rating_points,product_ratings,product_price,product_images_src,product_styles,product_description,reviews,reviewer_name,review_title,review_rating,reviewer_country_date,purchased_product,review_status,review_body,review_helpfulness
https://www.amazon.com/DGHM-JLMY-Zipper-Thicken-Lightweight-Quilted/dp/B0CQC56HJG/ref=sr_1_4392?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4392&ts_id=2476494011,DGHM-JLMY Men's Zipper Casual Padded Hooded Coat Warm Puffer Jacket Thicken Cotton Coat Lightweight Quilted Lined Winter Coat,,,,,,,,,,,,,,,
https://www.amazon.com/Generic-Winter-Hoodies-Flannel-Jackets/dp/B0CQXDJWCS/ref=sr_1_4391?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4391&ts_id=2476494011,JJHAEVDY Mens Jacket Long Sleeve Fleece Lined Jacket Printed Full Zip Coats Winter Stylish Jackets Thick Hoodies with Pockets,,,,,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Detachable-Leisure-Windproof-3X-Large/dp/B0CQ56ZTPX/ref=sr_1_4390?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4390&ts_id=2476494011,DGHM-JLMY Men's Detachable Fur Collar Hooded Leisure Down Jacket Fleece Thicken Windproof Down Coat Warm Parka Jacket Hooded,,,,,,,,,,,,,,,
https://www.amazon.com/Hooded-Contrast-Jacket-Pockets-4X-Large/dp/B0CQCFH8LX/ref=sr_1_4389?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4389&ts_id=2476494011,DGHM-JLMY Men's Hooded Contrast Thick Warm Down Jacket Color Block Winter Zip Puffer Hood With Pockets Fall Solid Parkas Hood,,,,https://m.media-amazon.com/images/I/81CKHx7KiZL._AC_SX679_.jpg,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Detachable-Stitching-Windproof-Patchwork/dp/B0CQC7Z54L/ref=sr_1_4388?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4388&ts_id=2476494011,DGHM-JLMY Men Contrast Color Detachable Hooded Down Jacket Color Stitching Coat Windproof Parka Patchwork Winter Puffer Coats,,,,,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Detachable-Collar-Jacket-Decorated/dp/B0CPDH2CJB/ref=sr_1_4387?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4387&ts_id=2476494011,DGHM-JLMY Men Detachable Fur Collar Down Jacket Liner Detachable Winter Down Jacket Faux Fur Collar Coat Decorated Zip Pocket,,,,,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Paddead-Military-Thicken-3X-Large/dp/B0CQC63K8G/ref=sr_1_4386?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4386&ts_id=2476494011,DGHM-JLMY Men's Paddead Military Fur Trim Hooded Coat Thicken Fur Hooded Sherpa Lined Parka Jacket Quilted Winter Coat Jacket,,,,,,,,,,,,,,,
https://www.amazon.com/Maiyifu-GJ-Military-Full-Zip-Mid-Long-Removable/dp/B0BNL7PTB6/ref=sr_1_4385?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4385&ts_id=2476494011,Maiyifu-GJ Men's Spring Military Full-Zip Jacket Outdoor Mid-Long Hooded Parka Jackets Casual Warm Coat with Removable Hood,,,,,,,,,,,,,,,
https://www.amazon.com/PAPERTREE-50x70-110g-MARINE-Anise/dp/B005TFQF2S/ref=sr_1_4384?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4384&ts_id=2476494011,PAPERTREE 50x70 110g MARINE Anise/Lime,,,$9.93 ,,,,,,,,,,,,
https://www.amazon.com/Generic-Jackets-Sweashirts-Sweatshirt-Flannel/dp/B0CQXFJMRB/ref=sr_1_4383?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4383&ts_id=2476494011,JJHAEVDY Mens Jacket Fleece Lined Printed Hoodie Full Zip Long Sleeve Jacket Workout Casual Coats Thick Hoodies with Pocket,,,,https://m.media-amazon.com/images/I/81ZFX3smMxL._AC_SX569_.jpg,,,,,,,,,,,
